Month,Ratio
JANVIER,
FEVRIER,2.092853589786105
MARS,2.0474626865671643
AVRIL,2.0325525525525525
MAI,1.854009776720835
JUIN,1.7440254912373871
JUILLET,1.4703027093813432
AOUT,1.818637749915283
SEPTEMBRE,1.1139402235911475
OCTOBRE,0.8328020401657634
