Benchmark,Benchmark Version,Hardware Vendor	,System,Nodes	,Form Factor	,Result,ssj_ops @ 100% of target load	,ssj_ops @ 90% of target load	,ssj_ops @ 80% of target load	,ssj_ops @ 70% of target load	,ssj_ops @ 60% of target load	,ssj_ops @ 50% of target load	,ssj_ops @ 40% of target load	,ssj_ops @ 30% of target load	,ssj_ops @ 20% of target load	,ssj_ops @ 10% of target load	,Average watts @ 100% of target load	,Average watts @ 90% of target load	,Average watts @ 80% of target load	,Average watts @ 70% of target load	,Average watts @ 60% of target load	,Average watts @ 50% of target load	,Average watts @ 40% of target load	,Average watts @ 30% of target load	,Average watts @ 20% of target load	,Average watts@10% of target load	,Average watts @ active idle	,Performance/power @ 100% of target load	,Performance/power @ 90% of target load	,Performance/power @ 80% of target load	,Performance/power @ 70% of target load	,Performance/power @ 60% of target load	,Performance/power @ 50% of target load	,Performance/power @ 40% of target load	,Performance/power @ 30% of target load	,Performance/power @ 20% of target load	,Performance/power @ 10% of target load	,# Cores,# Chips ,# Cores Per Chip ,# Threads Per Core,Processor ,Processor MHz,Processor Characteristics,CPU(s) Orderable,1st Level Cache,2nd Level Cache,3rd Level Cache,Other Cache,Memory (GB),Operating System,Operating System Version,DIMMS,Memory Description	,Power Provisioning ,Disk Drive ,Disk Controller ,Power Management ,Power Supply Details ,Power Supplies Installed ,Power Supply Rating (watts),HW Avail,Hardware release year,SW Avail,Tested By,Published,Disclosures
power_ssj2008,1.2,Lenovo Global Technology,Think System SR665 V3,1,2U,27118,2.12E+07,1.91E+07,1.70E+07,1.48E+07,1.28E+07,1.06E+07,8.50E+06,6.39E+06,4.26E+06,2.13E+06,634,562,504,461,431,395,358,322,281,238,117,33371,33928,33680,32061,29620,26966,23722,19811,15171,8959,192,2,96,2,AMD EPYC 9654 2.40GHz,2400,"96-Core, 2.40GHz, 384MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"384 MB I+D on chip per chip, 32 MB shared / 8 cores",None,384, Red Hat Enterprise Linux 8.6 (Ootpa),Kernel 4.18.0-372.9.1.el8.x86_64,24 x 16384 MB,24 x 16GB 1Rx8 PC5-4800B-RD0; slots 1 to 24 populated,Line-powered,1 x 240GB M.2 SSD P/N:4XB7A82286 M.2 Module P/N:4XH7A86159,Integrated SATA controller,Enabled (see SUT Notes),Lenovo P/N:4P57A26294,1,1800,Dec-2022,2022,May-2022,Lenovo Global Technology,Nov-2022,"<A HREF=""/power_ssj2008/results/res2022q4/power_ssj2008-20221026-01193.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2022q4/power_ssj2008-20221026-01193.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,Think System SR665 V3,1,2U,27501,2.15E+07,1.94E+07,1.72E+07,1.51E+07,1.29E+07,1.08E+07,8.61E+06,6.47E+06,4.31E+06,2.16E+06,630,564,500,463,428,395,363,332,278,237,115,34063,34383,34338,32624,30227,27302,23711,19478,15515,9117,192,2,96,2,AMD EPYC 9654 2.40GHz,2400,"96-Core, 2.40GHz, 384MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"384 MB I+D on chip per chip, 32 MB shared / 8 cores",None,384,Microsoft Windows Server 2022 Datacenter,Version 21H2 (OS Build 20348.1129),24 x 16384 MB,24 x 16GB 1Rx8 PC5-4800B-RD0; slots 1 to 24 populated,Line-powered,1 x 240GB M.2 SSD P/N:4XB7A82286 M.2 Module P/N:4XH7A86159,Integrated SATA controller,Enabled (see SUT Notes),Lenovo P/N:4P57A26294,1,1800,Dec-2022,2022,Oct-2022,Lenovo Global Technology,Nov-2022,"<A HREF=""/power_ssj2008/results/res2022q4/power_ssj2008-20221026-01194.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2022q4/power_ssj2008-20221026-01194.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,Think System SR675 V3,1,3U,40278,3.74E+07,3.37E+07,3.00E+07,2.62E+07,2.25E+07,1.88E+07,1.50E+07,1.13E+07,7.50E+06,3.75E+06,714,641,600,563,522,478,433,385,337,285,161,52421,52606,49955,46596,43155,39253,34653,29241,22247,13169,320,2,160,2,AMD EPYC 9845 2.1 GHz,2100,"160-Core, 2.10 GHz 320 MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,1 MB I+D on chip per core,320 MB I+D on chip per chip,None,384,Microsoft Windows Server 2022 Datacenter,Version 21H2(OS Build 20348.2700),24 x 16 GB,16GB 1Rx8 PC5-6400-RD1; slots 1 to 24 populated,Line-powered,1 x 960GB M.2 SSD P/N:4XB7A13999 M.2 Module P/N:4Y37A79663,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4P57A78359,4,1800,Feb-2025,2025,Sep-2024,Lenovo Global Technology,Nov-2024,"<A HREF=""/power_ssj2008/results/res2024q4/power_ssj2008-20241104-01465.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q4/power_ssj2008-20241104-01465.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,Think System SR675 V3,1,3U,39362,3.65E+07,3.30E+07,2.93E+07,2.57E+07,2.20E+07,1.83E+07,1.47E+07,1.10E+07,7.33E+06,3.67E+06,716,669,598,559,516,473,429,379,328,284,167,50977,49338,49045,45854,42622,38773,34165,28996,22372,12922,320,2,160,2,AMD EPYC 9845 2.1 GHz,2100,"160-Core, 2.10 GHz 320 MB L3 Cache","1,2 chips",32 KB I + 48 KB D on chip per core,1 MB I+D on chip per core,320 MB I+D on chip per chip,None,384,SUSE Linux Enterprise Server 15 SP6,6.4.0-150600.21-default,24 x 16 GB,16GB 1Rx8 PC5-6400-RD1; slots 1 to 24 populated,Line-powered,1 x 960GB M.2 SSD P/N:4XB7A13999 M.2 Module P/N:4Y37A79663,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4P57A78359,4,1800,Feb-2025,2025,Jun-2024,Lenovo Global Technology,Nov-2024,"<A HREF=""/power_ssj2008/results/res2024q4/power_ssj2008-20241104-01468.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q4/power_ssj2008-20241104-01468.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,Think System SR675 V3,1,3U,34210,2.87E+07,2.61E+07,2.32E+07,2.03E+07,1.74E+07,1.45E+07,1.16E+07,8.67E+06,5.79E+06,2.90E+06,689,621,547,492,451,416,383,340,311,262,138,41674,42003,42355,41208,38552,34776,30243,25534,18611,11075,256,2,128,2,AMD EPYC 9754,2250,"128-Core, AMD Core Performance Boost up to 3.10GHz, 2.25GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 8 cores",None,384,Microsoft Windows Server 2022 Datacenter,Version 21H2(OS Build 20348.2402),24 x 16 GB,16GB 1Rx8 PC5-4800B-R; slots 1 to 24 populated,Line-powered,1 x 960GB M.2 SSD P/N:4XB7A13999 M.2 Module P/N:4Y37A79663,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4P57A78359,4,1800,Mar-2024,2024,Apr-2024,Lenovo Global Technology,May-2024,"<A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240422-01402.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240422-01402.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,Think System SR675 V3,1,3U,33103,2.82E+07,2.54E+07,2.26E+07,1.98E+07,1.70E+07,1.41E+07,1.13E+07,8.47E+06,5.65E+06,2.83E+06,695,631,554,495,454,419,385,343,311,261,145,40508,40323,40849,39968,37365,33736,29337,24724,18173,10831,256,2,128,2,AMD EPYC 9754,2250,"128-Core, AMD Core Performance Boost up to 3.10GHz, 2.25GHz, 256MB L3 Cache","1,2 chips",32 KB I + 32 KB D on chip per core,1 MB I+D on chip per core,"256 MB I+D on chip per chip, 16 MB shared / 8 cores",None,384,SUSE Linux Enterprise Server 15 SP4,5.14.21-150400.22-default,24 x 16 GB,16GB 1Rx8 PC5-4800B-R; slots 1 to 24 populated,Line-powered,1 x 960GB M.2 SSD P/N:4XB7A13999 M.2 Module P/N:4Y37A79663,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4P57A78359,4,1800,Mar-2024,2024,Jan-2024,Lenovo Global Technology,May-2024,"<A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240422-01403.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q2/power_ssj2008-20240422-01403.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,ThinkEdge SE350 V2,1,1U,7624,1.38E+06,1.25E+06,1.11E+06,966548,834385,691665,555553,414091,275240,138341,136,129,111,101,93.2,86.4,81.1,74.6,69.9,64.7,51.2,10163,9651,9984,9550,8953,8005,6850,5555,3935,2138,16,1,16,2,Intel(R) Xeon(R) D-2775TE CPU @ 2.00GHz,2000,"16-Core, 2.00GHz, 25MB L3 Cache",1 chip,32 KB I + 48 KB D on chip per core,1280 KB I+D on chip per core,25 MB I+D off chip per chip,None,64,SUSE Linux Enterprise Server 15 SP4,5.14.21-150400.22-default,4 x 16 GB,4 x 16GB 2Rx8 PC4-3200AA-RE2; slots 1 to 4 populated,Line-powered,1 x 480GB M.2 SSD P/N:4XB7A83139,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4X27A88607,1,300,Dec-2023,2023,Jun-2022,Lenovo Global Technology,Mar-2024,"<A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01360.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01360.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,ThinkEdge SE350 V2,1,1U,8826,1.58E+06,1.41E+06,1.26E+06,1.11E+06,946331,794845,633099,478105,316824,159690,134,119,110,101,91.9,86.2,80.6,75.7,71.2,65.6,50.3,11820,11887,11467,11015,10296,9225,7853,6314,4450,2435,16,1,16,2,Intel(R) Xeon(R) D-2775TE CPU @ 2.00GHz,2000,"16-Core, 2.00GHz, 25MB L3 Cache",1 chip,32 KB I + 48 KB D on chip per core,1280 KB I+D on chip per core,25 MB I+D off chip per chip,None,64,Microsoft Windows Server 2022 Datacenter,Version 21H2 (OS Build 20348.2227),4 x 16 GB,4 x 16GB 2Rx8 PC4-3200AA-RE2; slots 1 to 4 populated,Line-powered,1 x 480GB M.2 SSD P/N:4XB7A83139,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4X27A88607,1,300,Dec-2023,2023,Jan-2024,Lenovo Global Technology,Mar-2024,"<A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01361.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01361.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,ThinkEdge SE360 V2,1,2U,7492,1.37E+06,1.22E+06,1.10E+06,948559,824457,686918,548212,412498,274165,136586,135,122,111,101,94.6,88,82.2,77.2,72.1,66.7,53.3,10172,10007,9850,9346,8715,7809,6672,5343,3803,2047,16,1,16,2,Intel(R) Xeon(R) D-2775TE CPU @ 2.00GHz,2000,"16-Core, 2.00GHz, 25MB L3 Cache",1 chip,32 KB I + 48 KB D on chip per core,1280 KB I+D on chip per core,25 MB I+D off chip per chip,None,64,SUSE Linux Enterprise Server 15 SP4,5.14.21-150400.22-default,4 x 16 GB,4 x 16GB 2Rx8 PC4-3200AA-RE2; slots 1 to 4 populated,Line-powered,1 x 480GB M.2 SSD P/N:4XB7A83139,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4X27A88607,1,300,Dec-2023,2023,Jun-2022,Lenovo Global Technology,Mar-2024,"<A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01362.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01362.txt"">Text</A>"
power_ssj2008,1.2,Lenovo Global Technology,ThinkEdge SE360 V2,1,2U,8565,1.58E+06,1.41E+06,1.27E+06,1.11E+06,949745,793115,635066,475694,316541,159963,139,123,112,104,94.6,88.5,83,78.5,73.4,67.7,52.4,11407,11479,11300,10688,10038,8962,7651,6061,4311,2363,16,1,16,2,Intel(R) Xeon(R) D-2775TE CPU @ 2.00GHz,2000,"16-Core, 2.00GHz, 25MB L3 Cache",1 chip,32 KB I + 48 KB D on chip per core,1280 KB I+D on chip per core,25 MB I+D off chip per chip,None,64,Microsoft Windows Server 2022 Datacenter,Version 21H2 (OS Build 20348.2227),4 x 16 GB,4 x 16GB 2Rx8 PC4-3200AA-RE2; slots 1 to 4 populated,Line-powered,1 x 480GB M.2 SSD P/N:4XB7A83139,Integrated NVME controller,Enabled (see SUT Notes),Lenovo P/N:4X27A88607,1,300,Dec-2023,2023,Jan-2024,Lenovo Global Technology,Mar-2024,"<A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01363.html"">HTML</A> <A HREF=""/power_ssj2008/results/res2024q1/power_ssj2008-20240130-01363.txt"">Text</A>"
