MAC;potencia_mean;potencia_max;potencia_std;energia_max;WORKSTATION_CPU_mean;WORKSTATION_CPU_POWER_mean
3C:61:05:12:96:30;101.16;223.3;18.43;441.43;4.97;32.29
AC:67:B2:3D:62:80;99.73;219.0;16.56;23.97;4.82;32.73
